ID,Name,Botanical name,vine,bamboo,tree,shrub,cactus,edible,ornam.,fragrant,medicinal,wood,height range (m),germination time,germination comment,germination instructions,Description
188,Japanese Pagoda Tree,Styphnolobium japonicum,n,n,y,n,n,n,y,y,y,,20-30,1-2 weeks,,"Styphnolobium japonicum, commonly known as the Japanese pagoda tree or Chinese scholar tree, is a deciduous tree native to East Asia but widely cultivated in other parts of the world. It's valued for its elegant, spreading crown, pinnately compound leaves that turn yellow in the fall, and fragrant, creamy-white, pea-like flowers that bloom in late summer, providing a valuable nectar source for pollinators when other trees have finished flowering. While slow-growing, it can reach impressive heights and lives for many years, making it a popular choice for parks, large gardens, and street plantings, though its messy seed pods and potential for brittle branches can sometimes be a drawback.","Styphnolobium japonicum, commonly known as the Japanese pagoda tree or Chinese scholar tree, is a deciduous tree native to East Asia but widely cultivated in other parts of the world. It's valued for its elegant, spreading crown, pinnately compound leaves that turn yellow in the fall, and fragrant, creamy-white, pea-like flowers that bloom in late summer, providing a valuable nectar source for pollinators when other trees have finished flowering. While slow-growing, it can reach impressive heights and lives for many years, making it a popular choice for parks, large gardens, and street plantings, though its messy seed pods and potential for brittle branches can sometimes be a drawback."
189,Blue Sausage Tree,Decaisnea fargesii,n,n,y,n,n,y,n,n,n,,3-5,Variable,,"Decaisnea fargesii, commonly known as Dead Man's Fingers, is a striking deciduous shrub or small tree native to western China. It's prized for its unusual, bright blue, sausage-shaped fruits that hang in clusters during the autumn, resembling, well, dead man's fingers. This plant boasts attractive, pinnately compound leaves that provide a lush, tropical-like foliage display throughout the growing season, and small, greenish-yellow flowers in drooping panicles during the spring. Its bold texture and unique fruit make it a conversation starter in any garden, adding a touch of the exotic and slightly macabre.","Decaisnea fargesii, commonly known as Dead Man's Fingers, is a striking deciduous shrub or small tree native to western China. It's prized for its unusual, bright blue, sausage-shaped fruits that hang in clusters during the autumn, resembling, well, dead man's fingers. This plant boasts attractive, pinnately compound leaves that provide a lush, tropical-like foliage display throughout the growing season, and small, greenish-yellow flowers in drooping panicles during the spring. Its bold texture and unique fruit make it a conversation starter in any garden, adding a touch of the exotic and slightly macabre."
190,Nashi,Pyrus pyrifolia,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Pyrus pyrifolia, commonly known as Asian pear, nashi pear, or apple pear, is a species of pear native to East Asia.  Distinct from European pears, it bears crisp, round fruits that resemble apples in appearance and texture, ranging in color from pale yellow to russet brown. These pears are known for their juicy, slightly grainy flesh, mild sweetness, and refreshing flavor, and are often eaten fresh or used in salads and desserts. The tree itself is deciduous, bearing white flowers in spring and requiring specific chilling hours for optimal fruit production.","Pyrus pyrifolia, commonly known as Asian pear, nashi pear, or apple pear, is a species of pear native to East Asia.  Distinct from European pears, it bears crisp, round fruits that resemble apples in appearance and texture, ranging in color from pale yellow to russet brown. These pears are known for their juicy, slightly grainy flesh, mild sweetness, and refreshing flavor, and are often eaten fresh or used in salads and desserts. The tree itself is deciduous, bearing white flowers in spring and requiring specific chilling hours for optimal fruit production."
191,Narrow Leaved Ash,Fraxinus angustifolia,n,n,y,n,n,n,n,n,y,,20-30,Variable,often requires stratification,"Fraxinus angustifolia, commonly known as the narrow-leaved ash, is a medium-sized deciduous tree native to central and southern Europe, northwest Africa, and southwest Asia.  It's characterized by its relatively narrow, lance-shaped leaflets arranged in opposite pairs along the leaf stalk, and its grayish-brown bark that becomes fissured with age.  The tree produces winged seeds called samaras, which aid in wind dispersal, and is adaptable to a variety of soil conditions, often found in riparian habitats and floodplains.  While valued for its timber, it's increasingly susceptible to ash dieback, a fungal disease threatening ash populations across Europe.","Fraxinus angustifolia, commonly known as the narrow-leaved ash, is a medium-sized deciduous tree native to central and southern Europe, northwest Africa, and southwest Asia.  It's characterized by its relatively narrow, lance-shaped leaflets arranged in opposite pairs along the leaf stalk, and its grayish-brown bark that becomes fissured with age.  The tree produces winged seeds called samaras, which aid in wind dispersal, and is adaptable to a variety of soil conditions, often found in riparian habitats and floodplains.  While valued for its timber, it's increasingly susceptible to ash dieback, a fungal disease threatening ash populations across Europe."
192,Ginko,Ginkgo biloba,n,n,y,n,n,n,n,n,n,,20-35,Variable,requires stratification,"Ginkgo biloba, often simply called Ginkgo, is a unique and ancient tree species known for its distinctive fan-shaped leaves and resilience. Native to China, it's considered a living fossil, with fossil records dating back millions of years. Ginkgo trees are prized for their ornamental value, vibrant golden fall foliage, and purported health benefits, including improved memory and cognitive function. While the fleshy fruit produced by female trees has a strong, unpleasant odor, the roasted seeds are a traditional food in some cultures. Ginkgo's hardiness and tolerance of pollution make it a popular choice for urban environments.","Ginkgo biloba, often simply called Ginkgo, is a unique and ancient tree species known for its distinctive fan-shaped leaves and resilience. Native to China, it's considered a living fossil, with fossil records dating back millions of years. Ginkgo trees are prized for their ornamental value, vibrant golden fall foliage, and purported health benefits, including improved memory and cognitive function. While the fleshy fruit produced by female trees has a strong, unpleasant odor, the roasted seeds are a traditional food in some cultures. Ginkgo's hardiness and tolerance of pollution make it a popular choice for urban environments."
193,Fishtail Palm Tree,Caryota,n,n,y,n,n,n,n,n,n,,10-20,Variable,,"Caryota, also known as fishtail palms, are a genus of striking palm trees characterized by their unique, bi-pinnate leaves that resemble the tail of a fish. Native to Asia, Australia, and the Pacific Islands, these palms range in size from small, clumping varieties to massive, solitary trees. They are admired for their dramatic foliage and the pendant clusters of flowers they produce, which unfortunately leads to the death of the individual stem after fruiting, making them monocarpic. While the sap can be irritating to the skin, some species are cultivated for their ornamental value and their edible starch content.","Caryota, also known as fishtail palms, are a genus of striking palm trees characterized by their unique, bi-pinnate leaves that resemble the tail of a fish. Native to Asia, Australia, and the Pacific Islands, these palms range in size from small, clumping varieties to massive, solitary trees. They are admired for their dramatic foliage and the pendant clusters of flowers they produce, which unfortunately leads to the death of the individual stem after fruiting, making them monocarpic. While the sap can be irritating to the skin, some species are cultivated for their ornamental value and their edible starch content."
194,Oriental Sweet Gum,Liquidambar orientalis,n,n,y,n,n,n,n,y,y,,15-25,2-3 weeks,,"Liquidambar orientalis, also known as Turkish Sweetgum or Oriental Sweetgum, is a deciduous tree native to a small region in southwestern Turkey. It is prized for its aromatic resin, known as storax, which has been used in perfumes, incense, and traditional medicine for centuries. This medium-sized tree boasts deeply lobed, maple-like leaves that turn vibrant shades of red, orange, and purple in the fall. Its bark is grayish-brown and deeply furrowed, and it produces spherical, spiky fruits that persist throughout the winter, adding ornamental interest. Unlike its American cousin, Liquidambar styraciflua, L. orientalis is relatively small, slow-growing, and more tolerant of alkaline soils.","Liquidambar orientalis, also known as Turkish Sweetgum or Oriental Sweetgum, is a deciduous tree native to a small region in southwestern Turkey. It is prized for its aromatic resin, known as storax, which has been used in perfumes, incense, and traditional medicine for centuries. This medium-sized tree boasts deeply lobed, maple-like leaves that turn vibrant shades of red, orange, and purple in the fall. Its bark is grayish-brown and deeply furrowed, and it produces spherical, spiky fruits that persist throughout the winter, adding ornamental interest. Unlike its American cousin, Liquidambar styraciflua, L. orientalis is relatively small, slow-growing, and more tolerant of alkaline soils."
195,Blackberry,Rubus fruticosus species aggregate,y,n,n,y,n,y,n,n,n,,1-2,2-3 weeks,,"The Rubus fruticosus species aggregate, commonly known as brambles or blackberries, is a highly complex group of closely related, apomictic (reproducing asexually) plant species within the genus Rubus. Native to Europe, they are sprawling, thorny shrubs with biennial stems (canes) that produce delicious, dark-colored berries. Due to their apomictic nature and tendency to hybridize readily, the classification of individual species within the aggregate is notoriously difficult, leading to a wide variety of morphologically similar forms and ongoing debate among botanists. Despite this complexity, brambles are widely recognized for their ecological importance, providing food and shelter for wildlife, and for their economic value as a popular fruit crop.","The Rubus fruticosus species aggregate, commonly known as brambles or blackberries, is a highly complex group of closely related, apomictic (reproducing asexually) plant species within the genus Rubus. Native to Europe, they are sprawling, thorny shrubs with biennial stems (canes) that produce delicious, dark-colored berries. Due to their apomictic nature and tendency to hybridize readily, the classification of individual species within the aggregate is notoriously difficult, leading to a wide variety of morphologically similar forms and ongoing debate among botanists. Despite this complexity, brambles are widely recognized for their ecological importance, providing food and shelter for wildlife, and for their economic value as a popular fruit crop."
196,Rosemary-leaved Willow,Salix Rosmarinifolia,n,n,n,y,n,n,n,y,n,,1-3,1-2 weeks,,"Salix rosmarinifolia, commonly known as rosemary willow or hoary willow, is a deciduous shrub characterized by its narrow, rosemary-like, bluish-green leaves that are silvery-white underneath due to fine hairs. This willow typically grows in a dense, upright form and produces small, inconspicuous catkins in early spring before the leaves emerge. Hardy and adaptable, rosemary willow is often used in ornamental landscaping, particularly in areas with moist or wet soils, adding textural interest with its unique foliage and attractive winter stems. It is favored for its ability to control erosion and provide habitat for wildlife.","Salix rosmarinifolia, commonly known as rosemary willow or hoary willow, is a deciduous shrub characterized by its narrow, rosemary-like, bluish-green leaves that are silvery-white underneath due to fine hairs. This willow typically grows in a dense, upright form and produces small, inconspicuous catkins in early spring before the leaves emerge. Hardy and adaptable, rosemary willow is often used in ornamental landscaping, particularly in areas with moist or wet soils, adding textural interest with its unique foliage and attractive winter stems. It is favored for its ability to control erosion and provide habitat for wildlife."
197,Passion Fruit,Passiflora edulis,y,n,n,n,n,y,y,y,n,,5-10 (vine),2-3 weeks,,"Passiflora edulis, commonly known as passion fruit, is a vigorous, tropical vine admired for its fragrant, exotic flowers and delicious, juicy fruit. The vine climbs via tendrils and boasts glossy, three-lobed leaves. Its captivating flowers feature a striking corona of colorful filaments surrounding prominent stamens and pistils. The fruit, typically purple or yellow when ripe, has a wrinkled rind enclosing a pulp filled with edible seeds, offering a sweet and tart flavor that's enjoyed fresh, in juices, desserts, and sauces. Widely cultivated in warm climates, the passion fruit is prized for its unique flavor and versatility.","Passiflora edulis, commonly known as passion fruit, is a vigorous, tropical vine admired for its fragrant, exotic flowers and delicious, juicy fruit. The vine climbs via tendrils and boasts glossy, three-lobed leaves. Its captivating flowers feature a striking corona of colorful filaments surrounding prominent stamens and pistils. The fruit, typically purple or yellow when ripe, has a wrinkled rind enclosing a pulp filled with edible seeds, offering a sweet and tart flavor that's enjoyed fresh, in juices, desserts, and sauces. Widely cultivated in warm climates, the passion fruit is prized for its unique flavor and versatility."
198,Australian banyan,Ficus Macrphylia,n,n,y,n,n,n,n,n,y,,20-40,2-,,"Ficus macrophylla, commonly known as the Moreton Bay fig, is a massive and iconic strangler fig native to eastern Australia. Its most distinctive features are its enormous size, often exceeding 150 feet in height and width, and its impressive buttress roots that spread outwards from the trunk, providing support and creating a unique architectural presence. The tree has large, leathery, dark green leaves and produces small, inedible figs that attract various wildlife.  Though a spectacular sight, its aggressive root system can be destructive to infrastructure, making it best suited for large parks and open spaces.","Ficus macrophylla, commonly known as the Moreton Bay fig, is a massive and iconic strangler fig native to eastern Australia. Its most distinctive features are its enormous size, often exceeding 150 feet in height and width, and its impressive buttress roots that spread outwards from the trunk, providing support and creating a unique architectural presence. The tree has large, leathery, dark green leaves and produces small, inedible figs that attract various wildlife.  Though a spectacular sight, its aggressive root system can be destructive to infrastructure, making it best suited for large parks and open spaces."
199,Gliricidia,Gliricidia Sepium,n,n,y,y,n,n,y,y,y,,10-15,1-2 weeks,,"Gliricidia sepium, often called ""Madre de Cacao"" or ""Quickstick,"" is a fast-growing, leguminous tree native to Central America but now widely cultivated in tropical and subtropical regions. It's a highly versatile species valued for its nitrogen-fixing abilities, making it excellent for soil improvement, erosion control, and agroforestry. Its branches are easily propagated as live fences, while the leaves provide valuable green manure, livestock fodder, and even insecticidal properties. Gliricidia sepium plays a significant role in sustainable agriculture by enhancing soil fertility and providing various ecosystem services.","Gliricidia sepium, often called ""Madre de Cacao"" or ""Quickstick,"" is a fast-growing, leguminous tree native to Central America but now widely cultivated in tropical and subtropical regions. It's a highly versatile species valued for its nitrogen-fixing abilities, making it excellent for soil improvement, erosion control, and agroforestry. Its branches are easily propagated as live fences, while the leaves provide valuable green manure, livestock fodder, and even insecticidal properties. Gliricidia sepium plays a significant role in sustainable agriculture by enhancing soil fertility and providing various ecosystem services."
200,Sacred Fig,Ficus Religiosa,n,n,y,n,n,n,n,n,y,,20-30,2-4 weeks,,"Ficus religiosa, also known as the Bodhi tree or sacred fig, is a large, deciduous or semi-evergreen tree native to the Indian subcontinent and Indochina. Revered in Hinduism, Buddhism, and Jainism, it's renowned for its distinctive heart-shaped leaves with elongated ""drip tips"" and its ability to grow to impressive sizes.  The tree's cultural and spiritual significance stems from the belief that Siddhartha Gautama, the Buddha, attained enlightenment while meditating under one of these trees. It is also recognized for its medicinal properties and its role in providing shade and shelter, making it a cherished and protected species in its native regions.","Ficus religiosa, also known as the Bodhi tree or sacred fig, is a large, deciduous or semi-evergreen tree native to the Indian subcontinent and Indochina. Revered in Hinduism, Buddhism, and Jainism, it's renowned for its distinctive heart-shaped leaves with elongated ""drip tips"" and its ability to grow to impressive sizes.  The tree's cultural and spiritual significance stems from the belief that Siddhartha Gautama, the Buddha, attained enlightenment while meditating under one of these trees. It is also recognized for its medicinal properties and its role in providing shade and shelter, making it a cherished and protected species in its native regions."
201,Papaya,Carica Papaya,n,n,y,n,n,y,n,n,n,,5-10,1-2 weeks,,"Carica papaya, commonly known as papaya, is a tropical fruit-bearing tree native to Central America. It's characterized by its single, slender trunk, topped with a crown of large, palmate leaves. The fruit itself is a large, oval or pear-shaped berry that ripens to a vibrant orange or yellowish color, boasting a sweet and slightly musky flavor. Papaya is not only consumed fresh but also used in cooking, traditional medicine, and as a source of papain, an enzyme with various industrial applications.","Carica papaya, commonly known as papaya, is a tropical fruit-bearing tree native to Central America. It's characterized by its single, slender trunk, topped with a crown of large, palmate leaves. The fruit itself is a large, oval or pear-shaped berry that ripens to a vibrant orange or yellowish color, boasting a sweet and slightly musky flavor. Papaya is not only consumed fresh but also used in cooking, traditional medicine, and as a source of papain, an enzyme with various industrial applications."
202,Sweet Granadilla,Passiflora Ligularis,y,n,n,n,n,y,y,y,n,,5-10 (vine),2-3 weeks,,"Passiflora ligularis, also known as the sweet granadilla, is a vine species belonging to the Passifloraceae family. Native to the Andean regions of South America, it is cultivated for its delicious, fragrant fruit. The fruit has a smooth, orange-yellow rind enclosing a translucent, grayish-white pulp speckled with edible black seeds. Its sweet and slightly acidic flavor makes it a popular choice for fresh consumption, juices, and desserts. The vine itself is characterized by its heart-shaped leaves and fragrant, pale pink to white flowers, adding to its ornamental appeal.","Passiflora ligularis, also known as the sweet granadilla, is a vine species belonging to the Passifloraceae family. Native to the Andean regions of South America, it is cultivated for its delicious, fragrant fruit. The fruit has a smooth, orange-yellow rind enclosing a translucent, grayish-white pulp speckled with edible black seeds. Its sweet and slightly acidic flavor makes it a popular choice for fresh consumption, juices, and desserts. The vine itself is characterized by its heart-shaped leaves and fragrant, pale pink to white flowers, adding to its ornamental appeal."
203,Amur cork tree,Phellodendron Amurense,n,n,y,n,n,n,n,y,y,,15-25,Variable,often needs stratification,"Phellodendron amurense, also known as Amur Cork Tree, is a deciduous tree native to East Asia known for its distinctive thick, corky bark and aromatic foliage.  It grows to a medium size and features compound leaves that turn yellow in the fall.  Female trees produce clusters of green berries that darken to black as they mature, providing a food source for birds. While valued for its ornamental qualities and the medicinal properties found in its bark, Phellodendron amurense is considered an invasive species in many regions due to its aggressive growth and ability to outcompete native vegetation.","Phellodendron amurense, also known as Amur Cork Tree, is a deciduous tree native to East Asia known for its distinctive thick, corky bark and aromatic foliage.  It grows to a medium size and features compound leaves that turn yellow in the fall.  Female trees produce clusters of green berries that darken to black as they mature, providing a food source for birds. While valued for its ornamental qualities and the medicinal properties found in its bark, Phellodendron amurense is considered an invasive species in many regions due to its aggressive growth and ability to outcompete native vegetation."
204,Chinese Lilac,Syringa × chinensis,n,n,n,y,n,n,y,y,n,,2-4,2-3 weeks,,"Syringa × chinensis, commonly known as Chinese Lilac, is a deciduous shrub or small tree resulting from a hybrid cross between Syringa vulgaris (Common Lilac) and Syringa persica (Persian Lilac).  It boasts a profusion of fragrant, pale lavender-purple flowers in drooping panicles, typically smaller and more delicate than those of its Common Lilac parent.  This lilac blooms later in the spring, offering an extended period of lilac fragrance and color to the garden.  Its leaves are generally smaller and more lance-shaped than Common Lilac, and it tends to have a more graceful, spreading habit, making it a popular ornamental choice for its beauty and adaptability.","Syringa × chinensis, commonly known as Chinese Lilac, is a deciduous shrub or small tree resulting from a hybrid cross between Syringa vulgaris (Common Lilac) and Syringa persica (Persian Lilac).  It boasts a profusion of fragrant, pale lavender-purple flowers in drooping panicles, typically smaller and more delicate than those of its Common Lilac parent.  This lilac blooms later in the spring, offering an extended period of lilac fragrance and color to the garden.  Its leaves are generally smaller and more lance-shaped than Common Lilac, and it tends to have a more graceful, spreading habit, making it a popular ornamental choice for its beauty and adaptability."
205,Southern Magnolia,Magnolia Grandiflora,n,n,y,n,n,n,y,y,n,,20-30,2-3 weeks,,"Magnolia grandiflora, commonly known as the Southern Magnolia, is a majestic evergreen tree renowned for its large, fragrant, creamy white flowers that bloom in late spring and summer. Native to the southeastern United States, this iconic tree boasts glossy, leathery, dark green leaves with a distinctive rusty-brown underside, adding to its year-round visual appeal.  It's a long-lived, slow-growing species that eventually reaches a substantial size, making it a striking specimen tree for lawns and parks.  Its elegant presence and captivating fragrance make it a beloved symbol of Southern charm and grace.","Magnolia grandiflora, commonly known as the Southern Magnolia, is a majestic evergreen tree renowned for its large, fragrant, creamy white flowers that bloom in late spring and summer. Native to the southeastern United States, this iconic tree boasts glossy, leathery, dark green leaves with a distinctive rusty-brown underside, adding to its year-round visual appeal.  It's a long-lived, slow-growing species that eventually reaches a substantial size, making it a striking specimen tree for lawns and parks.  Its elegant presence and captivating fragrance make it a beloved symbol of Southern charm and grace."
206,African Wintersweet,Acokanthera Oblongifolia,n,n,y,y,n,y,y,y,n,,3-6,2-3 weeks,,"Acokanthera oblongifolia, commonly known as the Dune Poison Bush, is a shrub or small tree native to coastal regions of southeastern Africa. It's recognized by its glossy, dark green, oblong-shaped leaves and fragrant, white to pinkish flowers that bloom in clusters. The plant is highly poisonous, containing cardiac glycosides in all its parts, particularly the fruits and seeds, and has historically been used to create arrow poisons. Despite its toxicity, it plays a role in coastal ecosystems and is sometimes cultivated for its ornamental value, albeit with extreme caution.","Acokanthera oblongifolia, commonly known as the Dune Poison Bush, is a shrub or small tree native to coastal regions of southeastern Africa. It's recognized by its glossy, dark green, oblong-shaped leaves and fragrant, white to pinkish flowers that bloom in clusters. The plant is highly poisonous, containing cardiac glycosides in all its parts, particularly the fruits and seeds, and has historically been used to create arrow poisons. Despite its toxicity, it plays a role in coastal ecosystems and is sometimes cultivated for its ornamental value, albeit with extreme caution."
207,Cockspur Coral Tree,Erythrina Crista-Galli,n,n,y,n,n,n,y,y,n,,10-15,1-2 weeks,,"Erythrina crista-galli, commonly known as the Cockspur Coral Tree, is a strikingly beautiful small tree native to South America. It's characterized by its vibrant, crimson-red, pea-like flowers that bloom profusely in spring and summer, resembling a rooster's comb.  The tree has a somewhat irregular shape and thorny branches, with trifoliate leaves that provide a lush green backdrop to its flamboyant blooms.  Highly valued as an ornamental tree in warm climates, it attracts hummingbirds and butterflies and adds a touch of tropical elegance to gardens and landscapes.","Erythrina crista-galli, commonly known as the Cockspur Coral Tree, is a strikingly beautiful small tree native to South America. It's characterized by its vibrant, crimson-red, pea-like flowers that bloom profusely in spring and summer, resembling a rooster's comb.  The tree has a somewhat irregular shape and thorny branches, with trifoliate leaves that provide a lush green backdrop to its flamboyant blooms.  Highly valued as an ornamental tree in warm climates, it attracts hummingbirds and butterflies and adds a touch of tropical elegance to gardens and landscapes."
208,Screw Pine,Pandanus,n,n,y,n,n,n,n,y,y,,5-10,Variable,,"Pandanus, also known as screwpine, is a genus of palm-like, dioecious trees and shrubs native to tropical and subtropical regions of the Old World. Characterized by their stilt roots, prop roots, and spirally arranged leaves, pandanus plants are easily recognizable and play a vital role in coastal ecosystems. They are also valued for their fragrant flowers, edible fruits, and leaves which are used in weaving mats, baskets, and thatching materials. The plants range in size from small shrubs to medium-sized trees, contributing to the diverse flora of their respective habitats and providing resources for both humans and animals.","Pandanus, also known as screwpine, is a genus of palm-like, dioecious trees and shrubs native to tropical and subtropical regions of the Old World. Characterized by their stilt roots, prop roots, and spirally arranged leaves, pandanus plants are easily recognizable and play a vital role in coastal ecosystems. They are also valued for their fragrant flowers, edible fruits, and leaves which are used in weaving mats, baskets, and thatching materials. The plants range in size from small shrubs to medium-sized trees, contributing to the diverse flora of their respective habitats and providing resources for both humans and animals."
209,Handkerchief Tree,Davidia Involucrata,n,n,y,n,n,n,y,n,n,,10-20,Variable,often slow,"Davidia involucrata, also known as the ""Handkerchief Tree"" or ""Dove Tree,"" is a deciduous tree native to China, prized for its unique and ethereal beauty. Its most striking feature is the pair of large, white bracts that dangle beneath each flower cluster in late spring, resembling fluttering handkerchiefs or doves in flight. The tree itself has an elegant, pyramidal form with heart-shaped, serrated leaves that turn a beautiful shade of yellow or reddish-purple in autumn. Though slow-growing, the Handkerchief Tree is a long-lived specimen tree that brings a touch of magic and intrigue to any landscape.","Davidia involucrata, also known as the ""Handkerchief Tree"" or ""Dove Tree,"" is a deciduous tree native to China, prized for its unique and ethereal beauty. Its most striking feature is the pair of large, white bracts that dangle beneath each flower cluster in late spring, resembling fluttering handkerchiefs or doves in flight. The tree itself has an elegant, pyramidal form with heart-shaped, serrated leaves that turn a beautiful shade of yellow or reddish-purple in autumn. Though slow-growing, the Handkerchief Tree is a long-lived specimen tree that brings a touch of magic and intrigue to any landscape."
210,Santa Rosa Plum,Prunus Salicina 'Santa Rosa',n,n,y,n,n,y,y,y,n,,5-8,1-2 weeks,,"'Santa Rosa' is a popular and widely grown Japanese plum known for its reliable productivity and delicious, sweet-tart flavor. This medium to large-sized plum boasts a beautiful, deep red skin that darkens almost to black when fully ripe, revealing a juicy, amber-colored flesh. It ripens relatively early in the season, usually in mid-summer, and is enjoyed fresh, canned, jammed, or baked. 'Santa Rosa' is a self-fruitful cultivar, meaning it doesn't require another plum tree for pollination, making it a great choice for smaller gardens.","Santa Rosa' is a popular and widely grown Japanese plum known for its reliable productivity and delicious, sweet-tart flavor. This medium to large-sized plum boasts a beautiful, deep red skin that darkens almost to black when fully ripe, revealing a juicy, amber-colored flesh. It ripens relatively early in the season, usually in mid-summer, and is enjoyed fresh, canned, jammed, or baked. 'Santa Rosa' is a self-fruitful cultivar, meaning it doesn't require another plum tree for pollination, making it a great choice for smaller gardens."
211,Osage,Maclura Pomifera,n,n,y,n,n,n,y,y,n,,10-20,Variable,requires scarification,"Maclura pomifera, commonly known as the Osage orange, is a deciduous tree native to North America, easily recognized by its thorny branches and distinctive, wrinkly green fruit resembling a large orange (though inedible). Historically used for hedging and windbreaks due to its dense growth and tolerance of poor soil, it now mainly serves as an ornamental tree and novelty item. The fruit, while not for eating, repels insects and is often used in natural pest control.","Maclura pomifera, commonly known as the Osage orange, is a deciduous tree native to North America, easily recognized by its thorny branches and distinctive, wrinkly green fruit resembling a large orange (though inedible). Historically used for hedging and windbreaks due to its dense growth and tolerance of poor soil, it now mainly serves as an ornamental tree and novelty item. The fruit, while not for eating, repels insects and is often used in natural pest control."
212,Emperor's Candlesticks,Senna Alata,n,n,n,y,n,n,y,n,y,,2-5,2-3 weeks,,"Senna alata, also known as the candelabra bush or ringworm bush, is a striking tropical shrub or small tree renowned for its vibrant yellow, candle-like flower spikes that bloom profusely. Traditionally used in herbal medicine across various cultures, its leaves contain antifungal and antibacterial properties, making it a popular remedy for skin conditions like ringworm and eczema. The plant is easily identifiable by its compound leaves, which fold up at night, and its winged pods that contain seeds. While visually appealing, Senna alata can be considered invasive in some regions due to its rapid growth and spread.","Senna alata, also known as the candelabra bush or ringworm bush, is a striking tropical shrub or small tree renowned for its vibrant yellow, candle-like flower spikes that bloom profusely. Traditionally used in herbal medicine across various cultures, its leaves contain antifungal and antibacterial properties, making it a popular remedy for skin conditions like ringworm and eczema. The plant is easily identifiable by its compound leaves, which fold up at night, and its winged pods that contain seeds. While visually appealing, Senna alata can be considered invasive in some regions due to its rapid growth and spread."
213,Dawn Redwood,Sequoioideae,n,n,y,n,n,n,n,n,y,,50-100,1-2 weeks,,"Sequoioideae is a subfamily of coniferous trees within the cypress family, Cupressaceae, characterized by its three genera of massive, long-lived trees: Sequoia (coast redwood), Sequoiadendron (giant sequoia), and Metasequoia (dawn redwood). Native to California and China, these trees are known for their impressive height, immense girth, and fire-resistant bark. They play a crucial role in their respective ecosystems, providing habitat for diverse species and contributing significantly to carbon sequestration. While coast redwoods thrive in moist, coastal environments, giant sequoias are found in the Sierra Nevada mountains, and dawn redwoods are adapted to cooler, temperate climates.","Sequoioideae is a subfamily of coniferous trees within the cypress family, Cupressaceae, characterized by its three genera of massive, long-lived trees: Sequoia (coast redwood), Sequoiadendron (giant sequoia), and Metasequoia (dawn redwood). Native to California and China, these trees are known for their impressive height, immense girth, and fire-resistant bark. They play a crucial role in their respective ecosystems, providing habitat for diverse species and contributing significantly to carbon sequestration. While coast redwoods thrive in moist, coastal environments, giant sequoias are found in the Sierra Nevada mountains, and dawn redwoods are adapted to cooler, temperate climates."
214,Hanging Hemlock,Conium maculatum,n,n,n,y,n,n,n,n,n,,1-2,2-3 weeks,,"Conium maculatum, commonly known as poison hemlock, is a highly toxic biennial plant recognizable by its smooth, hollow, purple-spotted stems and fern-like, lacy leaves.  It is an invasive species often found in disturbed areas, roadsides, and fields, where it can grow up to 6-10 feet tall. All parts of the plant contain poisonous alkaloids that can cause respiratory failure and death in humans and animals upon ingestion, making it crucial to avoid contact and properly identify it to prevent accidental poisoning.","Conium maculatum, commonly known as poison hemlock, is a highly toxic biennial plant recognizable by its smooth, hollow, purple-spotted stems and fern-like, lacy leaves.  It is an invasive species often found in disturbed areas, roadsides, and fields, where it can grow up to 6-10 feet tall. All parts of the plant contain poisonous alkaloids that can cause respiratory failure and death in humans and animals upon ingestion, making it crucial to avoid contact and properly identify it to prevent accidental poisoning."
215,Small Catalpa,Catalpa Bignonioides,n,n,y,n,n,n,y,n,n,,10-15,2-3 weeks,,"Catalpa bignonioides, commonly known as the Southern Catalpa or Indian Bean Tree, is a medium-sized, deciduous tree prized for its ornamental qualities.  It boasts large, heart-shaped leaves, showy clusters of white, bell-shaped flowers with purple and yellow markings in late spring, and distinctive, long, bean-like seed pods that persist through the winter.  Often admired for its picturesque, sometimes irregular branching pattern and relatively rapid growth, the Southern Catalpa provides dappled shade and serves as a valuable food source for certain caterpillars, making it a notable addition to landscapes seeking visual interest and ecological benefits.","Catalpa bignonioides, commonly known as the Southern Catalpa or Indian Bean Tree, is a medium-sized, deciduous tree prized for its ornamental qualities.  It boasts large, heart-shaped leaves, showy clusters of white, bell-shaped flowers with purple and yellow markings in late spring, and distinctive, long, bean-like seed pods that persist through the winter.  Often admired for its picturesque, sometimes irregular branching pattern and relatively rapid growth, the Southern Catalpa provides dappled shade and serves as a valuable food source for certain caterpillars, making it a notable addition to landscapes seeking visual interest and ecological benefits."
